Artist,Lyrics
Metallica,"147 ContributorsTranslationsFrançaisPortuguêsDeutschOne Lyrics[Spoken Intro]
""Fuckin' coward! Get your ass out of that trench!
Move, move, move, move, move!
Oh shit, oh fuck!
I'm hit, I'm hit, I'm hit, I'm hit!""
[Instrumental Intro]

[Verse 1]
I can't remember anything
Can't tell if this is true or a dream
Deep down inside, I feel the scream
This terrible silence stops me
Now that the war is through with me
I'm waking up, I cannot see
That there's not much left of me
Nothing is real but pain now

[Chorus]
Hold my breath as I wish for death
Oh, please, God, wake me

[Verse 2]
Back in the womb, it's much too real
In pumps life that I must feel
But can't look forward to reveal
Look to the time when I'll live
Fed through the tube that sticks in me
Just like a wartime novelty
Tied to machines that make me be
Cut this life off from me
See Metallica LiveGet tickets as low as $60You might also like[Chorus]
Hold my breath as I wish for death
Oh, please, God, wake me
[Instrumental Break]
[Guitar Solo]

[Chorus]
Now the world is gone, I'm just one
Oh, God, help me
Hold my breath as I wish for death
Oh, please, God, help me
[Instrumental Break]
[Bridge]
Darkness, imprisoning me
All that I see, absolute horror
I cannot live, I cannot die
Trapped in myself, body my holding cell
Landmine has taken my sight
Taken my speech, taken my hearing
Taken my arms, taken my legs
Taken my soul, left me with life in Hell
[Instrumental Outro]
[Guitar Solo]134Embed"
Metallica,"114 ContributorsTranslationsPolskiDeutschPortuguêsNederlandsTürkçeNothing Else Matters Lyrics[Instrumental Intro]

[Refrain]
So close, no matter how far
Couldn't be much more from the heart
Forever trusting who we are
And nothing else matters

[Verse 1]
Never opened myself this way
Life is ours, we live it our way
All these words, I don't just say
And nothing else matters
Trust I seek and I find in you
Every day for us something new
Open mind for a different view
And nothing else matters

[Chorus]
Never cared for what they do
Never cared for what they know
But I know

[Refrain]
So close, no matter how far
It couldn't be much more from the heart
Forever trusting who we are
And nothing else matters
See Metallica LiveGet tickets as low as $60You might also like[Chorus]
Never cared for what they do
Never cared for what they know
But I know

[Instrumental Break]

[Verse 2]
I never opened myself this way
Life is ours, we live it our way
All these words, I don't just say
And nothing else matters
Trust I seek and I find in you
Every day for us something new
Open mind for a different view
And nothing else matters

[Chorus]
Never cared for what they say
Never cared for games they play
Never cared for what they do
Never cared for what they know
And I know, yeah, yeah
[Instrumental Break]
[Guitar Solo]

[Refrain]
So close, no matter how far
Couldn't be much more from the heart
Forever trusting who we are
No, nothing else matters
[Instrumental Outro]138Embed"
Metallica,"138 ContributorsTranslationsPortuguêsNederlandsDeutschEnter Sandman Lyrics[Instrumental Intro]

[Verse 1]
Say your prayers, little one, don't forget, my son
To include everyone
I tuck you in, warm within, keep you free from sin
'Til the Sandman, he comes

[Pre-Chorus]
Sleep with one eye open
Gripping your pillow tight

[Chorus]
Exit light
Enter night
Take my hand
We're off to never-never land

[Verse 2]
Something's wrong, shut the light, heavy thoughts tonight
And they aren't of Snow White
Dreams of war, dreams of liars, dreams of dragons' fire
And of things that will bite, yeah

[Pre-Chorus]
Sleep with one eye open
Gripping your pillow tight
See Metallica LiveGet tickets as low as $60You might also like[Chorus]
Exit light
Enter night
Take my hand
We're off to never-never land
Yeah
[Guitar Solo]

[Bridge]
Now, I lay me down to sleep
(Now, I lay me down to sleep)
Pray the Lord my soul to keep
(Pray the Lord my soul to keep)
If I die before I wake
(If I die before I wake)
Pray the Lord my soul to take
(Pray the Lord my soul to take)
Hush little baby, don't say a word
And never mind that noise you heard
It's just the beasts under your bed
In your closet, in your head

[Chorus]
Exit light
Enter night
Grain of sand
Exit light
Enter night
Take my hand
We're off to never-never land
(Yeah, haha haha)
[Outro]
Oh, yeah-yeah, yo-oh
We're off to never-never land
Take my hand
We're off to never-never land
Take my hand
We're off to never-never land
We're off to never-never land
We're off to never-never land
We're off to never-never land98Embed"
Metallica,"152 ContributorsTranslationsPortuguêsEspañolDeutschMaster of Puppets Lyrics[Verse 1]
End of passion play, crumbling away
I'm your source of self-destruction
Veins that pump with fear, sucking darkest clear
Leading on your death's construction

[Refrain]
Taste me, you will see
More is all you need
Dedicated to
How I'm killing you

[Pre-Chorus]
Come crawling faster (Faster)
Obey your master (Master)
Your life burns faster (Faster)
Obey your

[Chorus]
Master, master
Master of puppets, I'm pulling your strings
Twisting your mind and smashing your dreams
Blinded by me, you can't see a thing
Just call my name 'cause I'll hear you scream
Master, master
Just call my name 'cause I'll hear you scream
Master, master
See Metallica LiveGet tickets as low as $60You might also like[Verse 2]
Needlework the way, never you betray
Life of death becoming clearer
Pain monopoly, ritual misery
Chop your breakfast on a mirror

[Refrain]
Taste me, you will see
More is all you need
Dedicated to
How I'm killing you

[Pre-Chorus]
Come crawling faster (Faster)
Obey your master (Master)
Your life burns faster (Faster)
Obey your

[Chorus]
Master, master
Master of puppets, I'm pulling your strings
Twisting your mind and smashing your dreams
Blinded by me, you can't see a thing
Just call my name 'cause I'll hear you scream
Master, master
Just call my name 'cause I'll hear you scream
Master, master
[Post-Chorus]
(Master, master, master, master)
[Instrumental Bridge]

[Bridge]
Master, master
Where's the dreams that I've been after?
Master, master
You promised only lies
Laughter, laughter
All I hear or see is laughter
Laughter, laughter
Laughing at my cries
Fix me
[Guitar Solo]

[Verse 3]
Hell is worth all that, natural habitat
Just a rhyme without a reason
Never-ending maze, drift on numbered days
Now your life is out of season

[Refrain]
I will occupy
I will help you die
I will run through you
Now I rule you too
[Pre-Chorus]
Come crawling faster (Faster)
Obey your master (Master)
Your life burns faster (Faster)
Obey your
[Chorus]
Master, master
Master of puppets, I'm pulling your strings
Twisting your mind and smashing your dreams
Blinded by me, you can't see a thing
Just call my name 'cause I'll hear you scream
Master, master
Just call my name 'cause I'll hear you scream
Master, master

[Laughter]103Embed"
Metallica,"94 ContributorsTranslationsDeutschPortuguêsNederlandsThe Unforgiven Lyrics[Instrumental Intro]

[Verse 1]
New blood joins this earth
And quickly he's subdued
Through constant pained disgrace
The young boy learns their rules
With time, the child draws in
This whipping boy done wrong
Deprived of all his thoughts
The young man struggles on and on, he's known
Ooh, a vow onto his own, that never from this day
His will they'll take away, yeah

[Chorus]
What I've felt, what I've known
Never shined through in what I've shown
Never be, never see
Won't see what might have been
What I've felt, what I've known
Never shined through in what I've shown
Never free, never me
So I dub thee unforgiven

[Verse 2]
They dedicate their lives
To running all of his
He tries to please them all
This bitter man he is
Throughout his life the same
He's battled constantly
This fight he cannot win
A tired man they see no longer cares
The old man then prepares to die regretfully
That old man here is me, yeah
See Metallica LiveGet tickets as low as $60You might also like[Chorus]
What I've felt, what I've known
Never shined through in what I've shown
Never be, never see
Won't see what might have been
What I've felt, what I've known
Never shined through in what I've shown
Never free, never me
So I dub thee unforgiven
[Guitar Solo]

[Chorus]
What I've felt, what I've known
Never shined through in what I've shown
Never be, never see
Won't see what might have been
What I've felt, what I've known
Never shined through in what I've shown
Never free, never me
So I dub thee unforgiven, oh-woah

[Outro]
Never free, never me
So I dub thee unforgiven
You labeled me, I'll label you
So I dub thee unforgiven
Never free, never me
So I dub thee unforgiven
You labeled me, I'll label you
So I dub thee unforgiven
Never free, never me
So I dub thee unforgiven85Embed"
Metallica,"119 ContributorsTranslationsTürkçeDeutschFade to Black Lyrics[Guitar Solo]

[Verse 1]
Life, it seems, will fade away
Drifting further every day
Getting lost within myself
Nothing matters, no one else
I have lost the will to live
Simply nothing more to give
There is nothing more for me
Need the end to set me free

[Guitar Solo]

[Verse 2]
Things not what they used to be
Missing one inside of me
Deathly lost, this can't be real
Cannot stand this hell I feel
Emptiness is filling me
To the point of agony
Growing darkness taking dawn
I was me, but now he's gone

[Bridge]
No one but me can save myself, but it's too late
Now I can't think, think why I should even try
Yesterday seems as though it never existed
Death greets me warm, now I will just say goodbye
(Goodbye)
See Metallica LiveGet tickets as low as $60You might also like[Guitar Solo]91Embed"
Metallica,"105 ContributorsTranslationsDeutschFor Whom the Bell Tolls Lyrics[Instrumental Intro]

[Verse 1]
Make his fight, on the hill, in the early day
Constant chill deep inside
Shouting gun, on they run, through the endless grey
On they fight, for the right, yes, but who's to say?
For a hill, men would kill — Why? They do not know
Stiffened wounds test their pride
Men of five, still alive, through the raging glow
Gone insane from the pain that they surely know

[Chorus]
For whom the bell tolls
Time marches on
For whom the bell tolls

[Instrumental Break]

[Verse 2]
Take a look to the sky just before you die
It's the last time you will
Blackened roar, massive roar, fills the crumbling sky
Shattered goal fills his soul with a ruthless cry
Stranger now are his eyes to this mystery
Hears the silence so loud
Crack of dawn, all is gone, except the will to be
Now they see what will be, blinded eyes to see
See Metallica LiveGet tickets as low as $60You might also like[Chorus]
For whom the bell tolls
Time marches on
For whom the bell tolls
[Instrumental Outro]66Embed"
Metallica,"73 ContributorsTranslationsРусскийDeutschCreeping Death Lyrics[Instrumental Intro]

[Verse 1]
Slaves, Hebrews born to serve, to the Pharaoh
Heed to his every word, live in fear
Faith of the unknown one, the deliverer
Wait, something must be done, four-hundred years

[Chorus]
So let it be written, so let it be done
I'm sent here by the chosen one
So let it be written, so let it be done
To kill the first born Pharaoh son, I'm creeping death

[Verse 2]
Now, let my people go, land of Goshen
Go, I will be with thee bush of fire
Blood, running red and strong down the Nile
Plague, darkness three days long, hail to fire

[Chorus]
So let it be written, so let it be done
I'm sent here by the chosen one
So let it be written, so let it be done
To kill the first born Pharaoh son, I'm creeping death
See Metallica LiveGet tickets as low as $60You might also like[Instrumental Break]
[Guitar Solo]

[Bridge]
Die by my hand (Die, die, die, die)
I creep across the land, killing first-born man (Die, die, die, die)
Die by my hand (Die, die, die, die)
I creep across the land, killing first-born man (Die, die, die, die)

[Verse 3]
I rule the midnight air, the destroyer
Born, I shall soon be there, deadly mass
I creep the steps and floor, final darkness
Blood, lamb's blood-painted door I shall pass

[Chorus]
So let it be written, so let it be done
I'm sent here by the chosen one
So let it be written, so let it be done
To kill the first born Pharaoh son, I'm creeping death50Embed"
Metallica,"58 ContributorsTranslationsPortuguêsNederlandsSad but True Lyrics[Verse 1]
Hey (Hey), I'm your life
I'm the one who takes you there
Hey (Hey), I'm your life
I'm the one who cares
They (They), they betray
I'm your only true friend now
They (They), they'll betray
I'm forever there

[Chorus]
I'm your dream, make you real
I'm your eyes when you must steal
I'm your pain when you can't feel
Sad but true
I'm your dream, mind astray
I'm your eyes while you're away
I'm your pain while you repay
You know it's sad but true
Sad but true

[Verse 2]
You (You), you're my mask
You're my cover, my shelter
You (You), you're my mask
You're the one who's blamed
Do (Do), do my work
Do my dirty work, scapegoat
Do (Do), do my deeds
For you're the one who's shamed
See Metallica LiveGet tickets as low as $60You might also like[Chorus]
I'm your dream, make you real
I'm your eyes when you must steal
I'm your pain when you can't feel
Sad but true
I'm your dream, mind astray
I'm your eyes while you're away
I'm your pain while you repay
You know it's sad but true
Sad but true

[Guitar Solo]

[Bridge]
I'm your dream
I'm your eyes
I'm your pain
I'm your dream (I'm your dream)
I'm your eyes (I'm your eyes)
I'm your pain (I'm your pain)
You know it's sad but true

[Guitar Solo]

[Verse 3]
Hate (Hate), I'm your hate
I'm your hate when you want love
Pay (Pay), pay the price
Pay for nothing's fair
Hey (Hey), I'm your life
I'm the one who took you there
Hey (Hey), I'm your life
And I no longer care
[Chorus]
I'm your dream, make you real
I'm your eyes when you must steal
I'm your pain when you can't feel
Sad but true
I'm your truth, telling lies
I'm your reasoned alibis
I'm inside, open your eyes
I'm you
Sad but true44Embed"
Metallica,"80 ContributorsTranslationsDeutschPortuguêsRide the Lightning Lyrics[Verse 1]
Guilty as charged, but dammit, it ain't right
There's someone else controlling me
Death in the air, strapped in the electric chair
This can't be happening to me
Who made you God to say
""I'll take your life from you""?

[Chorus]
Flash before my eyes
Now it's time to die
Burning in my brain
I can feel the flame

[Verse 2]
Wait for the sign to flick the switch of death
It's the beginning of the end
Sweat, chilling cold, as I watch death unfold
Consciousness, my only friend
My fingers grip with fear
What am I doing here?
[Chorus]
Flash before my eyes
Now it's time to die
Burning in my brain
I can feel the flame
See Metallica LiveGet tickets as low as $60You might also like[Bridge]
Someone help me
Oh please, God, help me
They're trying to take it all away
I don't want to die
[Guitar Solo]
[Bridge]
Someone help me
Oh please, God, help me
They're trying to take it all away
I don't want to die

[Verse 3]
Time moving slow, the minutes seem like hours
The final curtain all I see
How true is this? Just get it over with
If this is true, just let it be
Wakened by horrid scream
Freed from this frightening dream

[Chorus]
Flash before my eyes
Now it's time to die
Burning in my brain
I can feel the flame36Embed"
