Artist,Lyrics,Sentiment
Metallica,"contributorstranslationsfrançaisportuguêsdeutschone lyricsspoken  
 fuckin' coward get your ass out of that trench 
 move move move move move 
 oh shit oh fuck 
 i'm hit i'm hit i'm hit i'm hit 
   
  
   
 i can't remember anything 
 can't tell if this is true or a dream 
 deep down inside i feel the scream 
 this terrible silence stops me 
 now that the war is through with me 
 i'm waking up i cannot see 
 that there's not much left of me 
 nothing is real but pain now 
  
  
 hold my breath as i wish for death 
 oh please god wake me 
  
   
 back in the womb it's much too real 
 in pumps life that i must feel 
 but can't look forward to reveal 
 look to the time when i'll live 
 fed through the tube that sticks in me 
 just like a wartime novelty 
 tied to machines that make me be 
 cut this life off from me 
 see metallica liveget tickets as low as you might also like 
 hold my breath as i wish for death 
 oh please god wake me 
  break 
 guitar solo 
  
  
 now the world is gone i'm just one 
 oh god help me 
 hold my breath as i wish for death 
 oh please god help me 
  break 
  
 darkness imprisoning me 
 all that i see absolute horror 
 i cannot live i cannot die 
 trapped in myself body my holding cell 
 landmine has taken my sight 
 taken my speech taken my hearing 
 taken my arms taken my legs 
 taken my soul left me with life in hell 
   
 guitar soloembed",0
Metallica,"contributorstranslationspolskideutschportuguêsnederlandstürkçenothing else matters lyrics  
  
 refrain 
 so close no matter how far 
 couldn't be much more from the heart 
 forever trusting who we are 
 and nothing else matters 
  
   
 never opened myself this way 
 life is ours we live it our way 
 all these words i don't just say 
 and nothing else matters 
 trust i seek and i find in you 
 every day for us something new 
 open mind for a different view 
 and nothing else matters 
  
  
 never cared for what they do 
 never cared for what they know 
 but i know 
  
 refrain 
 so close no matter how far 
 it couldn't be much more from the heart 
 forever trusting who we are 
 and nothing else matters 
 see metallica liveget tickets as low as you might also like 
 never cared for what they do 
 never cared for what they know 
 but i know 
  
  break 
  
   
 i never opened myself this way 
 life is ours we live it our way 
 all these words i don't just say 
 and nothing else matters 
 trust i seek and i find in you 
 every day for us something new 
 open mind for a different view 
 and nothing else matters 
  
  
 never cared for what they say 
 never cared for games they play 
 never cared for what they do 
 never cared for what they know 
 and i know yeah yeah 
  break 
 guitar solo 
  
 refrain 
 so close no matter how far 
 couldn't be much more from the heart 
 forever trusting who we are 
 no nothing else matters 
  embed",0
Metallica,"contributorstranslationsdeutschportuguêsnederlandsthe unforgiven lyrics  
  
   
 new blood joins this earth 
 and quickly he's subdued 
 through constant pained disgrace 
 the young boy learns their rules 
 with time the child draws in 
 this whipping boy done wrong 
 deprived of all his thoughts 
 the young man struggles on and on he's known 
 ooh a vow onto his own that never from this day 
 his will they'll take away yeah 
  
  
 what i've felt what i've known 
 never shined through in what i've shown 
 never be never see 
 won't see what might have been 
 what i've felt what i've known 
 never shined through in what i've shown 
 never free never me 
 so i dub thee unforgiven 
  
   
 they dedicate their lives 
 to running all of his 
 he tries to please them all 
 this bitter man he is 
 throughout his life the same 
 he's battled constantly 
 this fight he cannot win 
 a tired man they see no longer cares 
 the old man then prepares to die regretfully 
 that old man here is me yeah 
 see metallica liveget tickets as low as you might also like 
 what i've felt what i've known 
 never shined through in what i've shown 
 never be never see 
 won't see what might have been 
 what i've felt what i've known 
 never shined through in what i've shown 
 never free never me 
 so i dub thee unforgiven 
 guitar solo 
  
  
 what i've felt what i've known 
 never shined through in what i've shown 
 never be never see 
 won't see what might have been 
 what i've felt what i've known 
 never shined through in what i've shown 
 never free never me 
 so i dub thee unforgiven ohwoah 
  
  
 never free never me 
 so i dub thee unforgiven 
 you labeled me i'll label you 
 so i dub thee unforgiven 
 never free never me 
 so i dub thee unforgiven 
 you labeled me i'll label you 
 so i dub thee unforgiven 
 never free never me 
 so i dub thee unforgivenembed",0
Metallica,"contributorstranslationstürkçedeutschfade to black lyricsguitar solo 
  
   
 life it seems will fade away 
 drifting further every day 
 getting lost within myself 
 nothing matters no one else 
 i have lost the will to live 
 simply nothing more to give 
 there is nothing more for me 
 need the end to set me free 
  
 guitar solo 
  
   
 things not what they used to be 
 missing one inside of me 
 deathly lost this can't be real 
 cannot stand this hell i feel 
 emptiness is filling me 
 to the point of agony 
 growing darkness taking dawn 
 i was me but now he's gone 
  
  
 no one but me can save myself but it's too late 
 now i can't think think why i should even try 
 yesterday seems as though it never existed 
 death greets me warm now i will just say goodbye 
 goodbye 
 see metallica liveget tickets as low as you might also likeguitar soloembed",0
Metallica,"contributorstranslationsdeutschfor whom the bell tolls lyrics  
  
   
 make his fight on the hill in the early day 
 constant chill deep inside 
 shouting gun on they run through the endless grey 
 on they fight for the right yes but who's to say 
 for a hill men would kill  why they do not know 
 stiffened wounds test their pride 
 men of five still alive through the raging glow 
 gone insane from the pain that they surely know 
  
  
 for whom the bell tolls 
 time marches on 
 for whom the bell tolls 
  
  break 
  
   
 take a look to the sky just before you die 
 it's the last time you will 
 blackened roar massive roar fills the crumbling sky 
 shattered goal fills his soul with a ruthless cry 
 stranger now are his eyes to this mystery 
 hears the silence so loud 
 crack of dawn all is gone except the will to be 
 now they see what will be blinded eyes to see 
 see metallica liveget tickets as low as you might also like 
 for whom the bell tolls 
 time marches on 
 for whom the bell tolls 
  embed",0
Metallica,"contributorstranslationsрусскийdeutschcreeping death lyrics  
  
   
 slaves hebrews born to serve to the pharaoh 
 heed to his every word live in fear 
 faith of the unknown one the deliverer 
 wait something must be done fourhundred years 
  
  
 so let it be written so let it be done 
 i'm sent here by the chosen one 
 so let it be written so let it be done 
 to kill the first born pharaoh son i'm creeping death 
  
   
 now let my people go land of goshen 
 go i will be with thee bush of fire 
 blood running red and strong down the nile 
 plague darkness three days long hail to fire 
  
  
 so let it be written so let it be done 
 i'm sent here by the chosen one 
 so let it be written so let it be done 
 to kill the first born pharaoh son i'm creeping death 
 see metallica liveget tickets as low as you might also like break 
 guitar solo 
  
  
 die by my hand die die die die 
 i creep across the land killing firstborn man die die die die 
 die by my hand die die die die 
 i creep across the land killing firstborn man die die die die 
  
   
 i rule the midnight air the destroyer 
 born i shall soon be there deadly mass 
 i creep the steps and floor final darkness 
 blood lamb's bloodpainted door i shall pass 
  
  
 so let it be written so let it be done 
 i'm sent here by the chosen one 
 so let it be written so let it be done 
 to kill the first born pharaoh son i'm creeping deathembed",0
Metallica,"contributorstranslationsdeutschportuguêsride the lightning lyrics  
 guilty as charged but dammit it ain't right 
 there's someone else controlling me 
 death in the air strapped in the electric chair 
 this can't be happening to me 
 who made you god to say 
 i'll take your life from you 
  
  
 flash before my eyes 
 now it's time to die 
 burning in my brain 
 i can feel the flame 
  
   
 wait for the sign to flick the switch of death 
 it's the beginning of the end 
 sweat chilling cold as i watch death unfold 
 consciousness my only friend 
 my fingers grip with fear 
 what am i doing here 
  
 flash before my eyes 
 now it's time to die 
 burning in my brain 
 i can feel the flame 
 see metallica liveget tickets as low as you might also like 
 someone help me 
 oh please god help me 
 they're trying to take it all away 
 i don't want to die 
 guitar solo 
  
 someone help me 
 oh please god help me 
 they're trying to take it all away 
 i don't want to die 
  
   
 time moving slow the minutes seem like hours 
 the final curtain all i see 
 how true is this just get it over with 
 if this is true just let it be 
 wakened by horrid scream 
 freed from this frightening dream 
  
  
 flash before my eyes 
 now it's time to die 
 burning in my brain 
 i can feel the flameembed",0
Metallica,"contributorsfuel lyrics 
 give me fuel give me fire 
 give me that which i desire ooh 
  
   
 yeah 
 turn on i see red 
 adrenaline crash and crack my head 
 nitro junkie paint me dead 
 and i see red 
 a hundred plus through black and white 
 war horse warhead 
 fuck 'em man whiteknuckle tight 
 through black and white 
  
  
 ooh on i burn 
 fuel is pumping engines 
 burning hard loose and clean 
 and i burn churning my direction 
 quench my thirst with gasoline 
 so give me fuel give me fire 
 give me that which i desire 
 hey 
  
   
 turn on beyond the bone 
 swallow future spit out home 
 burn your face upon the chrome 
 yeah 
 take the corner join the crash 
 headlights headlines 
 another junkie lives too fast 
 yeah lives way too fast fast fast ooh 
 see metallica liveget tickets as low as you might also like 
 ooh on i burn 
 fuel is pumping engines 
 burning hard loose and clean 
 and i burn churning my direction 
 quench my thirst with gasoline 
 so give me fuel give me fire 
 give me that which i desire ooh yeahheh 
 white knuckle tight 
  
 guitar solo 
  
  
 give me fuel on i burn on and on 
 give me fire on i burn on and on 
 my desire on i burn on and on 
  
  
 ooh on i burn 
 fuel is pumping engines 
 burning hard loose and clean 
 and i burn churning my direction 
 quench my thirst with gasoline 
 so give me fuel give me fire 
 give me that which i desire 
 on i burnembed",0
Metallica,"contributorswelcome home sanitarium lyrics  
 welcome to where time stands still 
 no one leaves and no one will 
 moon is full never seems to change 
 just labelled mentally deranged 
 dream the same thing every night 
 i see our freedom in my sight 
 no locked doors no windows barred 
 no things to make my brain seem scarred 
 sleep my friend and you will see 
 that dream is my reality 
 they keep me locked up in this cage 
 can't they see it's why my brain says rage 
  
  
 sanitarium 
 leave me be 
 sanitarium 
 just leave me alone 
  
 guitar solo 
  
   
 build my fear of what's out there 
 cannot breathe the open air 
 whisper things into my brain 
 assuring me that i'm insane 
 they think our heads are in their hands 
 but violent use brings violent plans 
 keep him tied it makes him well 
 he's getting better can't you tell 
 no more can they keep us in 
 listen damn it we will win 
 they see it right they see it well 
 but they think this saves us from our hell 
 see metallica liveget tickets as low as you might also like 
 sanitarium 
 leave me be 
 sanitarium 
 just leave me alone 
  
  
 sanitarium 
 just leave me alone 
  
  
 fear of living on 
 natives getting restless now 
 mutiny in the air 
 got some death to do 
 mirror stares back hard 
 kill it's such a friendly word 
 seems the only way 
 for reaching out againembed",0
Metallica,"contributorsblackened lyrics  
   
 blackened is the end winter it will send 
 throwing all you see into obscurity 
 death of mother earth never her rebirth 
 evolution's end never will it mend 
 never 
  
  
 fire to begin whipping dance of the dead 
 blackened is the end 
 to begin whipping dance of the dead 
 color our world blackened 
  
   
 blistering of earth terminate its worth 
 deadly nicotine kills what might have been 
 callous frigid chill nothing left to kill 
 never seen before breathing nevermore 
 never 
  
  
 fire to begin whipping dance of the dead 
 blackened is the end 
 to begin whipping dance of the dead 
 color our world blackened 
 see metallica liveget tickets as low as you might also likepost 
 blackened 
  
  
 opposition opposition 
 contradiction contradiction 
 premonition premonition 
 compromise 
 agitation agitation 
 violation violation 
 mutilation mutilation 
 planet dies 
 darkest color blistered earth 
 true death of life 
 termination termination termination 
 expiration expiration 
 cancellation cancellation human race 
 expectation expectation 
 liberation liberation 
 population population laid to waste 
 see our mother put to death death 
 see our mother die 
  
 guitar solo 
  
   
 smoldering decay take her breath away 
 millions of our years in minutes disappears 
 darkening in vain decadence remains 
 all is said and done never is the sun 
 never 
  
 fire to begin whipping dance of the dead 
 blackened is the end 
 to begin whipping dance of the dead 
 fire is the outcome of hypocrisy 
 darkest potency 
 in the exit of humanity 
 color our world blackened 
 blackenedembed",0
