Artist,Lyrics,Sentiment
Metallica,"contributorstranslationsportuguêsnederlandsdeutschenter sandman lyrics  
  
   
 say your prayers little one don't forget my son 
 to include everyone 
 i tuck you in warm within keep you free from sin 
 'til the sandman he comes 
  
 pre 
 sleep with one eye open 
 gripping your pillow tight 
  
  
 exit light 
 enter night 
 take my hand 
 we're off to nevernever land 
  
   
 something's wrong shut the light heavy thoughts tonight 
 and they aren't of snow white 
 dreams of war dreams of liars dreams of dragons' fire 
 and of things that will bite yeah 
  
 pre 
 sleep with one eye open 
 gripping your pillow tight 
 see metallica liveget tickets as low as you might also like 
 exit light 
 enter night 
 take my hand 
 we're off to nevernever land 
 yeah 
 guitar solo 
  
  
 now i lay me down to sleep 
 now i lay me down to sleep 
 pray the lord my soul to keep 
 pray the lord my soul to keep 
 if i die before i wake 
 if i die before i wake 
 pray the lord my soul to take 
 pray the lord my soul to take 
 hush little baby don't say a word 
 and never mind that noise you heard 
 it's just the beasts under your bed 
 in your closet in your head 
  
  
 exit light 
 enter night 
 grain of sand 
 exit light 
 enter night 
 take my hand 
 we're off to nevernever land 
 yeah haha haha 
  
 oh yeahyeah yooh 
 we're off to nevernever land 
 take my hand 
 we're off to nevernever land 
 take my hand 
 we're off to nevernever land 
 we're off to nevernever land 
 we're off to nevernever land 
 we're off to nevernever landembed",1
Metallica,"contributorstranslationsportuguêsespañoldeutschmaster of puppets lyrics  
 end of passion play crumbling away 
 i'm your source of selfdestruction 
 veins that pump with fear sucking darkest clear 
 leading on your death's construction 
  
 refrain 
 taste me you will see 
 more is all you need 
 dedicated to 
 how i'm killing you 
  
 pre 
 come crawling faster faster 
 obey your master master 
 your life burns faster faster 
 obey your 
  
  
 master master 
 master of puppets i'm pulling your strings 
 twisting your mind and smashing your dreams 
 blinded by me you can't see a thing 
 just call my name 'cause i'll hear you scream 
 master master 
 just call my name 'cause i'll hear you scream 
 master master 
 see metallica liveget tickets as low as you might also like  
 needlework the way never you betray 
 life of death becoming clearer 
 pain monopoly ritual misery 
 chop your breakfast on a mirror 
  
 refrain 
 taste me you will see 
 more is all you need 
 dedicated to 
 how i'm killing you 
  
 pre 
 come crawling faster faster 
 obey your master master 
 your life burns faster faster 
 obey your 
  
  
 master master 
 master of puppets i'm pulling your strings 
 twisting your mind and smashing your dreams 
 blinded by me you can't see a thing 
 just call my name 'cause i'll hear you scream 
 master master 
 just call my name 'cause i'll hear you scream 
 master master 
 post 
 master master master master 
   
  
  
 master master 
 where's the dreams that i've been after 
 master master 
 you promised only lies 
 laughter laughter 
 all i hear or see is laughter 
 laughter laughter 
 laughing at my cries 
 fix me 
 guitar solo 
  
   
 hell is worth all that natural habitat 
 just a rhyme without a reason 
 neverending maze drift on numbered days 
 now your life is out of season 
  
 refrain 
 i will occupy 
 i will help you die 
 i will run through you 
 now i rule you too 
 pre 
 come crawling faster faster 
 obey your master master 
 your life burns faster faster 
 obey your 
  
 master master 
 master of puppets i'm pulling your strings 
 twisting your mind and smashing your dreams 
 blinded by me you can't see a thing 
 just call my name 'cause i'll hear you scream 
 master master 
 just call my name 'cause i'll hear you scream 
 master master 
  
 laughterembed",1
Metallica,"contributorstranslationsportuguêsnederlandssad but true lyrics  
 hey hey i'm your life 
 i'm the one who takes you there 
 hey hey i'm your life 
 i'm the one who cares 
 they they they betray 
 i'm your only true friend now 
 they they they'll betray 
 i'm forever there 
  
  
 i'm your dream make you real 
 i'm your eyes when you must steal 
 i'm your pain when you can't feel 
 sad but true 
 i'm your dream mind astray 
 i'm your eyes while you're away 
 i'm your pain while you repay 
 you know it's sad but true 
 sad but true 
  
   
 you you you're my mask 
 you're my cover my shelter 
 you you you're my mask 
 you're the one who's blamed 
 do do do my work 
 do my dirty work scapegoat 
 do do do my deeds 
 for you're the one who's shamed 
 see metallica liveget tickets as low as you might also like 
 i'm your dream make you real 
 i'm your eyes when you must steal 
 i'm your pain when you can't feel 
 sad but true 
 i'm your dream mind astray 
 i'm your eyes while you're away 
 i'm your pain while you repay 
 you know it's sad but true 
 sad but true 
  
 guitar solo 
  
  
 i'm your dream 
 i'm your eyes 
 i'm your pain 
 i'm your dream i'm your dream 
 i'm your eyes i'm your eyes 
 i'm your pain i'm your pain 
 you know it's sad but true 
  
 guitar solo 
  
   
 hate hate i'm your hate 
 i'm your hate when you want love 
 pay pay pay the price 
 pay for nothing's fair 
 hey hey i'm your life 
 i'm the one who took you there 
 hey hey i'm your life 
 and i no longer care 
  
 i'm your dream make you real 
 i'm your eyes when you must steal 
 i'm your pain when you can't feel 
 sad but true 
 i'm your truth telling lies 
 i'm your reasoned alibis 
 i'm inside open your eyes 
 i'm you 
 sad but trueembed",1
Metallica,"contributorsand justice for all lyrics  
 halls of justice painted green money talking 
 power wolves beset your door hear them stalking 
 soon you'll please their appetite they devour 
 hammer of justice crushes you overpower 
  
 pre 
 the ultimate in vanity 
 exploiting their supremacy 
 i can't believe the things you say 
 i can't believe i can't believe the price 
 you pay 
  
  
 nothing can save you 
 justice is lost justice is raped justice is gone 
 pulling your strings justice is done 
 seeking no truth winning is all 
 find it so grim so true so real 
  
   
 apathy their stepping stone so unfeeling 
 hidden deep animosity so deceiving 
 through your eyes their light burns hoping to find 
 inquisition sinking you with prying minds 
 see metallica liveget tickets as low as you might also likepre 
 the ultimate in vanity 
 exploiting their supremacy 
 i can't believe the things you say 
 i can't believe i can't believe the price 
 you pay 
  
  
 nothing can save you 
 justice is lost justice is raped justice is gone 
 pulling your strings justice is done 
 seeking no truth winning is all 
 find it so grim so true so real 
  
  break 
 guitar solo 
  
   
 lady justice has been raped truth assassin 
 rolls of red tape seal your lips now you're done in 
 their money tips her scales again make your deal 
 just what is truth i cannot tell cannot feel 
  
 pre 
 the ultimate in vanity 
 exploiting their supremacy 
 i can't believe the things you say 
 i can't believe i can't believe the price 
 we pay 
  
 nothing can save us 
 justice is lost justice is raped justice is gone 
 pulling your strings justice is done 
 seeking no truth winning is all 
 find it so grim so true so real 
  
  
 seeking no truth winning is all 
 find it so grim so true so realembed",1
Metallica,"contributorstranslationsportuguêsnederlandswherever i may roam lyrics  
  
   
 and the road becomes my bride 
 and the road becomes my bride 
 i have stripped of all but pride 
 so in her i do confide 
 and she keeps me satisfied 
 gives me all i need 
 and with dust in throat i crave 
 only knowledge will i save 
 to the game you stay a slave 
  
 pre 
 rover wanderer nomad vagabond 
 call me what you will yeah 
  
  
 oh but i'll take my time anywhere 
 free to speak my mind anywhere 
 and i'll redefine anywhere 
 anywhere i roam 
 where i lay my head is home yeah 
  
   
 and the earth becomes my throne 
 and the earth becomes my throne 
 i adapt to the unknown 
 under wandering stars i've grown 
 by myself but not alone 
 i ask no one 
 and my ties are severed clean 
 the less i have the more i gain 
 off the beaten path i reign 
 see metallica liveget tickets as low as you might also likepre 
 rover wanderer nomad vagabond 
 call me what you will 
 yeah you will 
  
  
 but i'll take my time anywhere 
 i'm free to speak my mind anywhere 
 and ill never mind anywhere 
 anywhere i roam 
 where i lay my head is home yeahyeah 
  
 guitar solo 
  
  
 but i'll take my time anywhere 
 i'm free to speak my mind 
 and i'll take my find anywhere 
 anywhere i roam 
 where i lay my head is home that's right 
  
 guitar solo 
  
  
 yeah 
 but i'll take my time anywhere 
 i'm free to speak my mind anywhere 
 and i'll redefine anywhere 
 anywhere i roam 
 where i lay my head is home 
 post 
 carved upon my stone 
 my body lies but still i roam yeahyeah 
  
  
 wherever i may roam 
 wherever i may roam roam 
 wherever i may roam 
 wherever i may roam yeah 
 wherever i may wander wander wander 
 wherever i may roam 
 yeahyeah wherever i may roam 
 yeahyeah wherever i may roam 
 wherever i may roam 
 wherever i may roam 
 wherever i may roamembed",1
Metallica,"contributorswhiskey in the jar lyrics  
 as i was goin' over the cork and kerry mountains 
 i saw captain farrell and his money he was countin' 
 i first produced my pistol and then produced my rapier 
 i said stand and deliver or the devil he may take you yeah 
 i took all of his money and it was a pretty penny 
 i took all of his money yeah and i brought it home to molly 
 she swore that she loved me no never would she leave me 
 but the devil take that woman yeah for you know she tricked me easy 
  
  
 musha ring dum a doo dum a da 
 whack for my daddyo 
 whack for my daddyo 
 there's whiskey in the jaro 
  
   
 bein' drunk and weary i went to molly's chamber 
 takin' money with me but i never knew the danger 
 for about six or maybe seven yeah in walked captain farrell 
 i jumped up fired off my pistols and i shot him with both barrels yeah 
  
  
 musha ring dum a doo dum a da 
 whack for my daddyo 
 whack for my daddyo 
 there's whiskey in the jaro 
 yeahheh whiskey in the jaro 
 guitar solo 
  
 ohh yeah yeah whoayo 
 yeah oh yeah 
  
   
 now some men like the fishin' and some men like the fowlin' 
 and some men like to hear to hear the cannonball aroarin' 
 me i like sleepin' especially in molly's chamber 
 but here i am in prison here i am with a ball and chain yeah 
  
  
 musha ring dum a doo dum a da yeah yeah 
 whack for my daddyo 
 whack for my daddyo 
 theres whiskey in the jaro yeah 
 whiskey in the jaro yeah 
  
  
 musha ring dum a doo dum a da 
 musha ring dum a doo dum a da 
 hey musha ring dum a doo dum a da 
 musha ring dum a doo dum a da yeahsee metallica liveget tickets as low as you might also likeembed",1
Metallica,"contributorsdyers eve lyrics  
 dear mother dear father 
 what is this hell you have put me through 
 believer deceiver 
 day in day out lived my life through you 
 pushed onto me what's wrong or right 
 hidden from this thing that they call life 
  
   
 dear mother dear father 
 every thought i'd think you'd disapprove 
 curator dictator 
 always censoring my every move 
 children are seen but are not heard 
 tear out everything inspired 
  
 refrain 
 innocence torn from me without your shelter 
 barred reality i'm living blindly 
  
   
 dear mother dear father 
 time has frozen still what's left to be 
 hear nothing say nothing 
 cannot face the fact i think for me 
 no guarantee it's life as is 
 but damn you for not giving me my chance 
 see metallica liveget tickets as low as you might also like  
 dear mother dear father 
 you clipped my wings before i learned to fly 
 unspoiled unspoken 
 i've outgrown that fucking lullaby 
 same thing i've always heard from you 
 do as i say not as i do 
  
 refrain 
 innocence torn from me without your shelter 
 barred reality i'm living blindly 
  break 
 guitar solo 
  
  
 i'm in hell without you 
 cannot cope without you two 
 shocked at the world that i see 
 innocent victim please rescue me 
  
   
 dear mother dear father 
 hidden in your world you've made for me 
 i'm seething i'm bleeding 
 ripping wounds in me that never heal 
 undying spite i feel for you 
 living out this hell you always knew 
  
 noembed",1
Metallica,"contributorseye of the beholder lyrics  
 do you see what i see truth is an offense 
 your silence for your confidence 
 do you hear what i hear doors are slamming shut 
 limit your imagination keep you where they must 
 do you feel what i feel bittering distress 
 who decides what you express 
 do you take what i take endurance is the word 
 moving back instead of forward seems to me absurd 
  
 pre 
 doesn't matter what you see 
 or into it what you read 
 you can do it your own way 
 if it's done just how i say 
  
  
 independence limited 
 freedom of choice is made for you my friend 
 freedom of speech is words that they will bend 
 freedom with their exception 
  
   
 do you fear what i fear living properly 
 truths to you are lies to me 
 do you choose what i choose more alternatives 
 energy derives from both the plus and negative 
 do you need what i need boundaries overthrown 
 look inside to each his own 
 do you trust what i trust me myself and i 
 penetrate the smoke screen i see through the selfish lie 
 see metallica liveget tickets as low as you might also likepre 
 doesn't matter what you see 
 or into it what you read 
 you can do it your own way 
 if it's done just how i say 
  
  
 independence limited 
 freedom of choice is made for you my friend 
 freedom of speech is words that they will bend 
 freedom with their exception 
  
 guitar solo 
  
   
 do you know what i know your money and your wealth 
 you silence just to hear yourself 
 do you want what i want desire not a thing 
 i hunger after independence lengthen freedom's ring 
 pre 
 doesn't matter what you see 
 or into it what you read 
 you can do it your own way 
 if it's done just how i say 
  
 independence limited 
 freedom of choice is made for you my friend 
 freedom of speech is words that they will bend 
 freedom no longer frees you 
  
  
 doesn't matter what you see 
 or into it what you read 
 you can do it your own way 
 if it's done just how i sayembed",1
Metallica,"contributorsturn the page lyrics  
 on a long and lonesome highway east of omaha 
 you can listen to the engine's moanin' out his onenote song 
 you can think about the woman or the girl you knew the night before 
 but your thoughts will soon be wanderin' the way they always do 
 when you're ridin' sixteen hours and there's nothin' much to do 
 and you don't feel much like ridin' you just wish the trip was through 
  
  
 here i am on the road again 
 there i am up on the stage 
 there i go playin' star again 
 there i go turn the page 
   
 so you walk into this restaurant all strung out from the road 
 and you feel the eyes upon you as you're shakin' off the cold 
 you pretend it doesn't bother you but you just want to explode 
 yeah most times you can't hear 'em talk other times you can 
 all the same old clichés is it woman is it man 
 and you always seem outnumbered you don't dare make a stand 
 make your stand 
  
  
 ah here i am on the road again 
 there i am up on the stage 
 here i go playin' star again 
 there i go turn the page 
 see metallica liveget tickets as low as you might also like  
 ohho out there in the spotlight you're a million miles away 
 every ounce of energy you try and give away 
 and the sweat pours out your body like the music that you play 
 later in the evenin' as you lie awake in bed 
 with the echoes of the amplifiers ringin' in your head 
 you smoke the day's last cigarette rememberin' what she said 
 what she said 
  
  break 
 oh yeah 
  
 guitar solo 
  
  
 yeah here i am on the road again 
 there i am up on that stage 
 and here i go playin' star again 
 there i go turn the page 
  
  
 there i go turn that page 
 there i go yeahyeah 
 there i go yeah 
 there i go yeah 
 here i go yeah 
 there i go 
 there i go 
 and i'm goneembed",1
Metallica,"contributorsthe day that never comes lyrics  
  
   
 born to push you 'round 
 better just stay down 
 you pull away he hits the flesh you hit the ground 
 mouth so full of lies 
 tend to black your eyes 
 just keep them closed keep praying just keep waiting 
  
  
 waiting for the one 
 the day that never comes ah 
 when you stand up and feel the warmth 
 but the sunshine never comes no 
 no the sunshine never comes 
  
   
 push you cross that line 
 just stay down this time 
 hide in yourself crawl in yourself you'll have your time 
 god i'll make them pay 
 take it back one day 
 i'll end this day 
 i'll splatter color on this gray 
 see metallica liveget tickets as low as you might also like 
 waiting for the one 
 the day that never comes ah 
 when you stand up and feel the warmth 
 but the sunshine never comes 
  
  
 love is a four letter word 
 and never spoken here 
 love is a four letter word 
 here in this prison 
 i suffer this no longer 
 i'll put an end to this i swear 
 this i swear the sun will shine 
 this i swear this i swear 
 this i swearembed",1
